2025-05-08 at 11:36:56 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=debug.log, gui level=DEBUG
2025-05-08 at 11:36:56 | DEBUG | [FastApi] APIServer initialized
2025-05-08 at 11:36:56 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-05-08 at 11:36:56 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-05-08 at 11:36:56 | INFO | [Experiment] Fully initialized
2025-05-11 at 14:49:33 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=debug.log, gui level=DEBUG
2025-05-11 at 14:49:33 | DEBUG | [FastApi] APIServer initialized
2025-05-11 at 14:49:33 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-05-11 at 14:49:33 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-05-11 at 14:49:33 | INFO | [Experiment] Fully initialized
2025-05-11 at 15:28:51 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=debug.log, gui level=DEBUG
2025-05-11 at 15:28:51 | DEBUG | [FastApi] APIServer initialized
2025-05-11 at 15:28:51 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-05-11 at 15:28:51 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-05-11 at 15:28:51 | INFO | [Experiment] Fully initialized
