2025-04-29 at 21:45:23 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=logs\debug.log, gui level=DEBUG
2025-04-29 at 21:45:23 | DEBUG | [FastApi] APIServer initialized
2025-04-29 at 21:45:23 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-04-29 at 21:45:23 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-04-29 at 21:45:23 | DEBUG | Instrument clock added to the rack.
2025-04-29 at 21:45:23 | DEBUG | Measurement timestamp added to the rack.
2025-04-29 at 21:45:23 | DEBUG | Measurement time added to the rack.
2025-04-29 at 21:45:23 | DEBUG | Measurement timestamp6 added to the rack.
2025-04-29 at 21:45:23 | DEBUG | Measurement time2 added to the rack.
2025-04-29 at 21:45:23 | DEBUG | Measurement timestamp2 added to the rack.
2025-04-29 at 21:45:23 | DEBUG | Measurement time3 added to the rack.
2025-04-29 at 21:45:23 | DEBUG | Measurement timestamp3 added to the rack.
2025-04-29 at 21:45:23 | DEBUG | Measurement time9 added to the rack.
2025-04-29 at 21:45:23 | INFO | Experiment started
2025-04-29 at 21:45:23 | DEBUG | All experiment tasks started
2025-04-29 at 21:45:23 | DEBUG | [FastApi] Server setup started at localhost:8005
2025-04-29 at 21:45:23 | DEBUG | [FastApi] Server setup completed
2025-04-29 at 21:45:23 | DEBUG | Running APIServer
2025-04-29 at 21:45:23 | DEBUG | Rack setup started
2025-04-29 at 21:45:23 | DEBUG | Rack setup completed
2025-04-29 at 21:45:23 | DEBUG | Running Rack
2025-04-29 at 21:45:23 | DEBUG | [Scribe] Setup started
2025-04-29 at 21:45:23 | INFO | [Scribe] Directory created: 'data_sub'
2025-04-29 at 21:45:23 | DEBUG | [Scribe] Setup completed
2025-04-29 at 21:45:23 | DEBUG | Running Scribe
2025-04-29 at 21:45:23 | DEBUG | [Scribe] File data_sub\00.00 start.data does not exist. Creating new file.
2025-04-29 at 21:45:23 | DEBUG | [TaskManager] Setup started
2025-04-29 at 21:45:23 | DEBUG | [TaskManager] Setup completed
2025-04-29 at 21:45:23 | DEBUG | Running TaskManager
2025-04-29 at 21:45:23 | INFO | [TaskManager] Waiting for task to appear on queue
2025-04-29 at 21:45:25 | DEBUG | [FastApi] Client connected
2025-04-29 at 21:45:25 | DEBUG | [FastApi] Client connected
2025-04-29 at 21:51:23 | DEBUG | [FastApi] Server teardown started
2025-04-29 at 21:51:23 | DEBUG | [FastApi] Server teardown completed
2025-04-29 at 21:51:23 | DEBUG | [Scribe] Teardown started
2025-04-29 at 21:51:23 | DEBUG | [Scribe] Teardown completed
2025-04-29 at 21:51:23 | DEBUG | [TaskManager] Teardown started
2025-04-29 at 21:51:23 | DEBUG | [TaskManager] Teardown completed
2025-04-29 at 21:51:23 | DEBUG | Rack teardown started
2025-04-29 at 21:51:23 | DEBUG | Rack teardown completed
2025-04-29 at 21:51:23 | INFO | Experiment interrupted by user
2025-04-29 at 21:51:23 | INFO | Experiment ended
2025-04-29 at 21:51:26 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=logs\debug.log, gui level=DEBUG
2025-04-29 at 21:51:26 | DEBUG | [FastApi] APIServer initialized
2025-04-29 at 21:51:26 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-04-29 at 21:51:26 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-04-29 at 21:51:26 | DEBUG | Instrument clock added to the rack.
2025-04-29 at 21:51:26 | DEBUG | Measurement timestamp added to the rack.
2025-04-29 at 21:51:26 | DEBUG | Measurement time added to the rack.
2025-04-29 at 21:51:26 | DEBUG | Measurement timestamp6 added to the rack.
2025-04-29 at 21:51:26 | DEBUG | Measurement time2 added to the rack.
2025-04-29 at 21:51:26 | DEBUG | Measurement timestamp2 added to the rack.
2025-04-29 at 21:51:26 | DEBUG | Measurement time3 added to the rack.
2025-04-29 at 21:51:26 | DEBUG | Measurement timestamp3 added to the rack.
2025-04-29 at 21:51:26 | DEBUG | Measurement time9 added to the rack.
2025-04-29 at 21:51:26 | INFO | Experiment started
2025-04-29 at 21:51:26 | DEBUG | All experiment tasks started
2025-04-29 at 21:51:26 | DEBUG | [FastApi] Server setup started at localhost:8005
2025-04-29 at 21:51:26 | DEBUG | [FastApi] Server setup completed
2025-04-29 at 21:51:26 | DEBUG | Running APIServer
2025-04-29 at 21:51:26 | DEBUG | Rack setup started
2025-04-29 at 21:51:26 | DEBUG | Rack setup completed
2025-04-29 at 21:51:26 | DEBUG | Running Rack
2025-04-29 at 21:51:26 | DEBUG | [Scribe] Setup started
2025-04-29 at 21:51:26 | INFO | [Scribe] Directory created: 'data_sub'
2025-04-29 at 21:51:26 | DEBUG | [Scribe] Starting at: 01.00
2025-04-29 at 21:51:26 | DEBUG | [Scribe] Setup completed
2025-04-29 at 21:51:26 | DEBUG | Running Scribe
2025-04-29 at 21:51:26 | DEBUG | [Scribe] File data_sub\01.00 start.data does not exist. Creating new file.
2025-04-29 at 21:51:26 | DEBUG | [TaskManager] Setup started
2025-04-29 at 21:51:26 | DEBUG | [TaskManager] Setup completed
2025-04-29 at 21:51:26 | DEBUG | Running TaskManager
2025-04-29 at 21:51:26 | INFO | [TaskManager] Waiting for task to appear on queue
2025-04-29 at 21:51:28 | DEBUG | [FastApi] Client connected
2025-04-29 at 21:51:28 | DEBUG | [FastApi] Client connected
2025-04-29 at 21:51:35 | INFO | Adding task to queue
2025-04-29 at 21:51:35 | INFO | [TaskManager] Adding task to queue: Test Task
2025-04-29 at 21:51:35 | INFO | [TaskManager] Task fetched from queue: Test Task
2025-04-29 at 21:51:36 | INFO | [TestTask] Step 0 completed
2025-04-29 at 21:51:37 | INFO | [TestTask] Step 1 completed
2025-04-29 at 21:51:38 | INFO | [TestTask] Step 2 completed
2025-04-29 at 21:51:39 | INFO | [TestTask] Step 3 completed
2025-04-29 at 21:51:40 | INFO | [TestTask] Step 4 completed
2025-04-29 at 21:51:41 | INFO | [TestTask] Step 5 completed
2025-04-29 at 21:51:42 | INFO | [TestTask] Step 6 completed
2025-04-29 at 21:51:43 | INFO | [TestTask] Step 7 completed
2025-04-29 at 21:51:44 | INFO | [TestTask] Step 8 completed
2025-04-29 at 21:51:45 | INFO | [TestTask] Step 9 completed
2025-04-29 at 21:51:45 | INFO | [TaskManager] Waiting for task to appear on queue
2025-04-29 at 22:02:22 | DEBUG | [FastApi] Client disconnected
2025-04-29 at 22:02:22 | DEBUG | [FastApi] Client disconnected
2025-04-29 at 22:02:22 | DEBUG | [FastApi] Server teardown started
2025-04-29 at 22:02:22 | DEBUG | [FastApi] Server teardown completed
2025-04-29 at 22:02:22 | DEBUG | [Scribe] Teardown started
2025-04-29 at 22:02:22 | DEBUG | [Scribe] Teardown completed
2025-04-29 at 22:02:22 | DEBUG | [TaskManager] Teardown started
2025-04-29 at 22:02:22 | DEBUG | [TaskManager] Teardown completed
2025-04-29 at 22:02:22 | DEBUG | Rack teardown started
2025-04-29 at 22:02:22 | DEBUG | Rack teardown completed
2025-04-29 at 22:02:22 | INFO | Experiment interrupted by user
2025-04-29 at 22:02:22 | INFO | Experiment ended
2025-04-29 at 22:08:49 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=logs\debug.log, gui level=DEBUG
2025-04-29 at 22:08:49 | DEBUG | [FastApi] APIServer initialized
2025-04-29 at 22:08:49 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-04-29 at 22:08:49 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-04-29 at 22:08:49 | DEBUG | Instrument clock added to the rack.
2025-04-29 at 22:08:49 | DEBUG | Measurement timestamp added to the rack.
2025-04-29 at 22:08:49 | DEBUG | Measurement time added to the rack.
2025-04-29 at 22:08:49 | DEBUG | Measurement timestamp6 added to the rack.
2025-04-29 at 22:08:49 | DEBUG | Measurement time2 added to the rack.
2025-04-29 at 22:08:49 | DEBUG | Measurement timestamp2 added to the rack.
2025-04-29 at 22:08:49 | DEBUG | Measurement time3 added to the rack.
2025-04-29 at 22:08:49 | DEBUG | Measurement timestamp3 added to the rack.
2025-04-29 at 22:08:49 | DEBUG | Measurement time9 added to the rack.
2025-04-29 at 22:08:49 | INFO | Experiment started
2025-04-29 at 22:08:49 | DEBUG | All experiment tasks started
2025-04-29 at 22:08:49 | DEBUG | [FastApi] Server setup started at localhost:8005
2025-04-29 at 22:08:49 | DEBUG | [FastApi] Server setup completed
2025-04-29 at 22:08:49 | DEBUG | Running APIServer
2025-04-29 at 22:08:49 | DEBUG | Rack setup started
2025-04-29 at 22:08:49 | DEBUG | Rack setup completed
2025-04-29 at 22:08:49 | DEBUG | Running Rack
2025-04-29 at 22:08:49 | DEBUG | [Scribe] Setup started
2025-04-29 at 22:08:49 | INFO | [Scribe] Directory created: 'data_sub'
2025-04-29 at 22:08:49 | DEBUG | [Scribe] Starting at: 02.00
2025-04-29 at 22:08:49 | DEBUG | [Scribe] Setup completed
2025-04-29 at 22:08:49 | DEBUG | Running Scribe
2025-04-29 at 22:08:49 | DEBUG | [Scribe] File data_sub\02.00 start.data does not exist. Creating new file.
2025-04-29 at 22:08:49 | DEBUG | [TaskManager] Setup started
2025-04-29 at 22:08:49 | DEBUG | [TaskManager] Setup completed
2025-04-29 at 22:08:49 | DEBUG | Running TaskManager
2025-04-29 at 22:08:49 | INFO | [TaskManager] Waiting for task to appear on queue
2025-04-29 at 22:08:54 | DEBUG | [FastApi] Server teardown started
2025-04-29 at 22:08:54 | DEBUG | [FastApi] Server teardown completed
2025-04-29 at 22:08:54 | DEBUG | [Scribe] Teardown started
2025-04-29 at 22:08:54 | DEBUG | [Scribe] Teardown completed
2025-04-29 at 22:08:54 | DEBUG | [TaskManager] Teardown started
2025-04-29 at 22:08:54 | DEBUG | [TaskManager] Teardown completed
2025-04-29 at 22:08:54 | DEBUG | Rack teardown started
2025-04-29 at 22:08:54 | DEBUG | Rack teardown completed
2025-04-29 at 22:08:54 | INFO | Experiment interrupted by user
2025-04-29 at 22:08:54 | INFO | Experiment ended
2025-04-29 at 22:09:11 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=logs\debug.log, gui level=DEBUG
2025-04-29 at 22:09:11 | DEBUG | [FastApi] APIServer initialized
2025-04-29 at 22:09:11 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-04-29 at 22:09:11 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-04-29 at 22:09:11 | DEBUG | Instrument clock added to the rack.
2025-04-29 at 22:09:11 | DEBUG | Measurement timestamp added to the rack.
2025-04-29 at 22:09:11 | DEBUG | Measurement time added to the rack.
2025-04-29 at 22:09:11 | DEBUG | Measurement timestamp6 added to the rack.
2025-04-29 at 22:09:11 | DEBUG | Measurement time2 added to the rack.
2025-04-29 at 22:09:11 | DEBUG | Measurement timestamp2 added to the rack.
2025-04-29 at 22:09:11 | DEBUG | Measurement time3 added to the rack.
2025-04-29 at 22:09:11 | DEBUG | Measurement timestamp3 added to the rack.
2025-04-29 at 22:09:11 | DEBUG | Measurement time9 added to the rack.
2025-04-29 at 22:09:11 | INFO | Experiment started
2025-04-29 at 22:09:11 | DEBUG | All experiment tasks started
2025-04-29 at 22:09:11 | DEBUG | [FastApi] Server setup started at localhost:8005
2025-04-29 at 22:09:11 | DEBUG | [FastApi] Server setup completed
2025-04-29 at 22:09:11 | DEBUG | Running APIServer
2025-04-29 at 22:09:11 | DEBUG | Rack setup started
2025-04-29 at 22:09:11 | DEBUG | Rack setup completed
2025-04-29 at 22:09:11 | DEBUG | Running Rack
2025-04-29 at 22:09:11 | DEBUG | [Scribe] Setup started
2025-04-29 at 22:09:11 | INFO | [Scribe] Directory created: 'data_sub'
2025-04-29 at 22:09:11 | DEBUG | [Scribe] Starting at: 03.00
2025-04-29 at 22:09:11 | DEBUG | [Scribe] Setup completed
